218	abscondo, abscondere, abscondidi, absconditus  V (3rd)
219	abscondeo, abscondere, abscondui, absconditus  V (2nd)
220	absconditum, absconditi  N (2nd) N
221	absconditus, abscondita, absconditum  ADJ
222	abscondite  ADV
223	absconsus, absconsa, absconsum  ADJ
224	absconse  ADV
225	absconsio, absconsionis  N (3rd) F
226	absegmen, absegminis  N (3rd) N
227	absens, (gen.), absentis  ADJ
228	absento, absentare, absentavi, absentatus  V (1st) TRANS
229	absenthium, absenthii  N (2nd) N
230	absentia, absentiae  N (1st) F
231	absentio, absentionis  N (3rd) F
232	absentivus, absentiva, absentivum  ADJ
233	absida, absidae  N (1st) F
234	absida, absidae  N (1st) F
235	absidatus, absidata, absidatum  ADJ
236	absidiale, absidialis  N (3rd) N
237	absidiola, absidiolae  N (1st) F
238	absilio, absilire, -, -  V (4th) INTRANS
239	absimilis, absimilis, absimile  ADJ
240	absinthius, absinthii  N (2nd) M
241	absinthium, absinthii  N (2nd) N
242	absinthium, absinthi(i)  N (2nd) N
243	absinthius, absinthia, absinthium  ADJ
244	absinthites, absinthitae  N M
245	absis, absidis  N (3rd) F
246	absistus, absista, absistum  ADJ
247	absisto, absistere, absistiti, -  V (3rd) INTRANS
248	absit  INTERJ
249	absocer, absoceri  N (2nd) M
250	absolutus, absoluta, absolutum  ADJ
251	absolutus, absoluta -um, absolutior -or -us, absolutissimus -a -um  ADJ
252	absolute, absolutius, absolutissime  ADV
253	absolutio, absolutionis  N (3rd) F
254	absolutismus, absolutismi  N (2nd) M
255	absolutorium, absolutorii  N (2nd) N
256	absolutorius, absolutoria, absolutorium  ADJ
257	absolvo, absolvere, absolvi, absolutus  V (3rd) TRANS
258	absonus, absona, absonum  ADJ
259	absono, absonare, absonavi, absonatus  V (1st) INTRANS
260	absone  ADV
261	absonia, absoniae  N (1st) F
262	absorbeo, absorbere, absorbui, absorptus  V (2nd) TRANS
263	absorbeo, absorbere, absorpsi, absorptus  V (2nd) TRANS
264	absorptio, absorptionis  N (3rd) F
265	absortus, absorta, absortum  ADJ
266	absortio, absortionis  N (3rd) F
267	absque  PREP  ABL
268	absto, abstare, absteti, abstatus  V (1st)
269	abstantia, abstantiae  N (1st) F
270	abstemia, abstemiae  N (1st) F
271	abstemius, abstemia, abstemium  ADJ
272	abstergeo, abstergere, abstersi, abstersus  V (2nd) TRANS
273	abstergo, abstergere, abstersi, abstersus  V (3rd) TRANS
274	absterreo, absterrere, absterrui, absterritus  V (2nd) TRANS
275	abstineo, abstinere, abstinui, abstentus  V (2nd)
276	abstinax, (gen.), abstinacis  ADJ
277	abstinens, abstinentis (gen.), abstinentior -or -us, abstinentissimus -a -um  ADJ
278	abstinenter  ADV
279	abstinentia, abstinentiae  N (1st) F
280	abstractus, abstracta, abstractum  ADJ
281	abstractio, abstractionis  N (3rd) F
282	abstraho, abstrahere, abstraxi, abstractus  V (3rd) TRANS
