Arabia		4402	N	C	1	15	65
Arabia		4406	N	C	1	0	50
Arabia		5085	N	N	1	0	15
Arabia		10684	N	E	2	0	27
Arabia		15492	N	N	1	0	15
Arabia		30444	N	C	1	0	50
Arabian		7813	N	N	1	0	15
Arabian		15498	N	N	1	0	15
Arabian		15589	N	N	1	0	15
Arabian		33836	ADJ	B	2	0	57
Arabic		4404	ADV	E	1	0	30
Arar		4430	N	D	1	15	55
Arar		4431	N	D	1	15	55
Arbarvalia		4442	N	F	1	0	20
Arcadia		4980	N	N	2	0	12
Archer		4581	N	D	1	0	40
Archer		4582	ADJ	C	1	0	50
Archer		4840	N	E	1	0	30
Archer		4841	ADJ	C	1	0	50
Archer		34013	N	C	3	10	54
Archius		4520	N	E	1	15	45
Archius		4522	ADJ	F	1	0	20
Arian		4724	N	E	1	15	45
Ariana		4725	N	N	1	0	15
Arianism		4726	N	E	1	15	45
Ariovistus		4749	N	C	1	15	65
Aristotle		4761	N	C	1	15	65
Aristotle		26103	N	E	1	0	30
Arius		4726	N	E	1	0	30
Ark		4479	N	D	5	0	28
Armenia		4783	N	C	1	15	65
Armenian		4784	ADJ	C	1	15	65
Artemisia		4900	N	E	1	0	30
Arverni		4967	N	C	1	15	65
Ash		24923	N	D	5	0	28
Asia		5025	N	B	1	15	75
Asia		5026	N	C	1	0	50
Asia		5027	ADJ	C	1	0	50
Asia		5028	ADJ	C	1	0	50
Asia		19213	N	C	1	0	50
Asia		19214	N	C	1	0	50
Asia		21133	N	E	1	0	30
Asia		21283	N	E	1	0	30
Asia		21284	N	E	1	0	30
Asia		30464	N	E	1	0	30
Asia		30466	N	E	1	0	30
Asian		5026	N	C	1	15	65
Asian		5027	ADJ	C	1	15	65
Asian		37292	N	D	1	0	40
Asian		37293	N	D	1	0	40
Asiatic		5028	ADJ	C	1	15	65
Asiatic		10195	N	C	2	0	47
Asses		5021	N	C	3	0	44
Assise		5202	N	F	1	15	35
Assisi		5203	N	D	1	15	55
Assisi		5204	ADJ	D	1	0	40
Assur		5238	N	E	2	0	27
Assyria		5238	N	E	2	0	27
Assyria		9304	N	C	1	0	50
Assyria		9307	N	C	1	0	50
Assyrian		5238	N	E	1	15	45
Asturia		5315	N	E	2	0	27
Asturia		5316	N	F	2	0	17
Atellan		26124	N	F	2	0	17
Athene		29173	N	F	2	0	17
Athenian		5352	ADJ	C	1	15	65
Athenian		5353	ADJ	C	1	15	65
Athenian		5354	N	C	1	15	65
Athenian		5446	ADJ	C	1	15	65
Athenian		5447	ADV	C	1	0	50
Athenian		5448	V	E	1	0	30
Athenian		9681	N	C	2	0	47
Athenians		5350	N	C	2	10	57
Athenians		5352	ADJ	C	2	0	47
Athenians		5353	ADJ	C	2	0	47
Athens		4572	N	E	1	0	30
Athens		5350	N	C	1	15	65
Athens		5352	ADJ	C	1	0	50
Athens		5353	ADJ	C	1	0	50
Athens		5354	N	C	1	0	50
Attic		5446	ADJ	C	1	15	65
Attic		5447	ADV	C	1	15	65
Attic		5448	V	E	1	0	30
Atuatuci		5494	N	C	1	15	65
August		5579	ADJ	C	1	15	65
August		5607	ADJ	C	1	15	65
August		35045	ADJ	D	1	15	55
August		35054	ADJ	D	1	15	55
Augusta		5605	N	C	1	15	65
Augustan		5610	ADJ	E	1	15	45
Augustian		35051	N	C	3	0	44
Augustian		35052	ADJ	C	3	0	44
Augustine		5615	N	F	1	0	20
Augustine		5616	N	C	1	15	65
Augustine		21710	N	A	6	0	55
Augustinian		7906	N	C	2	10	57
Augustinian		7912	N	D	5	10	38
Augustinism		5615	N	F	1	15	35
Augustus		5606	N	A	1	15	85
Augustus		5611	ADJ	E	1	0	30
Augustus		38450	ADV	F	2	0	17
Aulus		1	N	C	1	15	65
Aulus		5498	N	C	1	15	65
Aulus		5618	N	E	1	15	45
Auriga		1831	N	F	2	0	17
Auriga		7992	N	C	3	0	44
Auriga		7999	N	C	3	0	44
Auriga		18730	N	F	2	0	17
Auriga		20249	N	E	2	0	27
Auriga		20438	N	E	2	0	27
Auriga		21874	N	C	2	0	47
Auriga		22024	N	D	2	0	37
Auriga		22263	N	C	2	0	47
Australia		5743	N	F	1	15	35
Aventine		4806	N	E	2	0	27
Aventine		25421	N	D	2	0	37
Aventine		25935	N	D	2	0	37
Azotian		5938	ADJ	F	1	15	35
Azotian		5939	ADJ	F	1	15	35
Azotian		5940	ADV	F	1	15	35
Azotus		5938	ADJ	F	1	0	20
Azotus		5939	ADJ	F	1	0	20
Azotus		5940	ADV	F	1	0	20
Azrael		5941	N	F	1	15	35
BC		30621	N	D	3	0	34
BC		36401	N	D	2	0	37
BC		38670	N	C	3	0	44
BC		38671	ADJ	C	3	0	44
Baal		5951	N	E	1	15	45
Babylon		5957	N	F	1	15	35
Babylon		5958	N	C	1	15	65
Babylon		5959	N	E	1	0	30
Babylon		5960	ADJ	E	1	0	30
Babylonia		5958	N	C	2	10	57
Babylonian		5959	N	E	1	15	45
Babylonian		5960	ADJ	E	1	15	45
Bacchanal		11297	N	C	2	0	47
Bacchanal		11301	N	C	2	0	47
Bacchanal		11323	N	C	2	0	47
Bacchanal		11328	N	C	2	0	47
